t,cpu_util,mem_util
0,0.5585,0.4779
1,0.5404,0.4982
2,0.516,0.4831
3,0.5473,0.5152
4,0.5914,0.5417
5,0.634,0.5189
6,0.5558,0.5186
7,0.5825,0.5332
8,0.5744,0.5082
9,0.6022,0.546
10,0.3943,0.3981
11,0.4193,0.424
12,0.3907,0.4136
13,0.412,0.4345
14,0.4285,0.4193
15,0.4478,0.4212
16,0.4183,0.44
17,0.4064,0.4287
18,0.4036,0.4375
19,0.4511,0.4504
20,0.4615,0.4459
21,0.4545,0.4572
22,0.4512,0.4532
23,0.4703,0.4802
24,0.4517,0.4659
25,0.4302,0.4631
26,0.4686,0.488
27,0.4822,0.4664
28,0.459,0.4764
29,0.44,0.4645
30,0.4514,0.4562
31,0.4475,0.4821
32,0.4541,0.4654
33,0.4722,0.4966
34,0.4557,0.4767
35,0.4859,0.5039
36,0.504,0.5098
37,0.4733,0.4843
38,0.4798,0.5056
39,0.5173,0.4891
40,0.4717,0.4796
41,0.4764,0.4917
42,0.4988,0.4904
43,0.4647,0.487
44,0.4874,0.5
45,0.5232,0.5159
46,0.4975,0.5058
47,0.5075,0.4871
48,0.5212,0.5197
49,0.5198,0.5201
50,0.4909,0.4959
51,0.4735,0.4998
52,0.4708,0.4768
53,0.4792,0.4828
54,0.4866,0.4804
55,0.4656,0.4776
56,0.471,0.487
57,0.4656,0.5048
58,0.5,0.4861
59,0.4772,0.4864
60,0.4828,0.4785
61,0.5106,0.5199
62,0.4862,0.4919
63,0.462,0.4689
64,0.4758,0.4783
65,0.5034,0.4814
66,0.4533,0.4962
67,0.4818,0.4721
68,0.4808,0.4659
69,0.478,0.5009
70,0.496,0.494
71,0.4578,0.4684
72,0.45,0.4805
73,0.4697,0.4852
74,0.4553,0.4577
75,0.4819,0.4939
76,0.482,0.4854
77,0.4776,0.4799
78,0.4396,0.4584
79,0.4449,0.4393
80,0.4228,0.4409
81,0.4341,0.4587
82,0.4734,0.4592
83,0.4697,0.4775
84,0.4682,0.4511
85,0.4216,0.4302
86,0.4176,0.4264
87,0.4406,0.4588
88,0.451,0.4438
89,0.4372,0.4505
90,0.4006,0.4325
91,0.4476,0.4496
92,0.4355,0.4325
93,0.3987,0.4321
94,0.4054,0.4329
95,0.4413,0.4262
96,0.4047,0.4352
97,0.4217,0.4084
98,0.3835,0.3948
99,0.4279,0.4321
100,0.3801,0.4172
