t,cpu_util,mem_util
0,0.35,0.38
1,0.3561,0.3773
2,0.335,0.38
3,0.3507,0.3935
4,0.3695,0.3709
5,0.3295,0.367
6,0.3045,0.3799
7,0.3093,0.3809
8,0.305,0.4029
9,0.307,0.3783
10,0.292,0.353
11,0.3125,0.3657
12,0.33,0.3792
13,0.3323,0.3764
14,0.3557,0.3825
15,0.3648,0.3936
16,0.3469,0.3808
17,0.5384,0.4498
18,0.4908,0.4408
19,0.4852,0.4443
20,0.4638,0.4178
21,0.4428,0.4078
22,0.4148,0.3984
23,0.4277,0.4
24,0.4137,0.3957
25,0.3961,0.3841
26,0.3817,0.4003
27,0.3517,0.3743
28,0.359,0.3702
29,0.3668,0.3467
30,0.3745,0.3373
31,0.4161,0.3468
32,0.4047,0.3529
33,0.3917,0.363
34,0.3734,0.3719
35,0.3845,0.4036
36,0.4054,0.3914
37,0.4003,0.3667
38,0.381,0.3514
39,0.363,0.342
40,0.3753,0.3289
41,0.3889,0.3324
42,0.3978,0.3531
43,0.3821,0.3772
44,0.3852,0.3849
45,0.3858,0.4168
46,0.3883,0.41
47,0.4039,0.3843
48,0.4056,0.4
49,0.4164,0.3716
50,0.4145,0.3606
51,0.417,0.3692
52,0.4263,0.3681
53,0.3933,0.3657
54,0.3848,0.3485
55,0.3736,0.3496
56,0.3597,0.3659
57,0.3537,0.3668
58,0.3834,0.3548
59,0.3644,0.3371
60,0.3831,0.3267
61,0.3477,0.3347
62,0.3412,0.3417
63,0.3449,0.3312
64,0.3568,0.3
65,0.3707,0.3095
66,0.3856,0.2989
67,0.3768,0.3124
68,0.3662,0.3038
69,0.3826,0.292
70,0.3771,0.2978
71,0.3502,0.3365
72,0.3276,0.3495
73,0.3103,0.3527
74,0.3222,0.3592
75,0.3265,0.3338
76,0.3414,0.3188
77,0.3333,0.2836
78,0.3373,0.3134
79,0.3505,0.339
80,0.3443,0.3465
81,0.3537,0.3499
82,0.3403,0.3278
83,0.3335,0.3266
84,0.3267,0.3556
85,0.3039,0.3586
86,0.316,0.3509
87,0.3083,0.3257
88,0.3106,0.3486
89,0.3222,0.3488
90,0.3325,0.3237
91,0.3467,0.3121
92,0.3449,0.2957
93,0.3367,0.2971
94,0.3358,0.3035
95,0.3027,0.299
96,0.2762,0.3139
97,0.2534,0.3177
98,0.2383,0.3361
99,0.2519,0.3325
100,0.2387,0.3801
101,0.2367,0.3716
102,0.2683,0.3584
103,0.2653,0.3439
104,0.2843,0.3422
105,0.2689,0.3179
106,0.2688,0.3248
107,0.2539,0.2984
108,0.2519,0.3041
109,0.2736,0.2869
110,0.2429,0.2849
111,0.2569,0.2978
112,0.2663,0.3356
113,0.2586,0.3212
114,0.2343,0.3213
115,0.2415,0.3128
116,0.2363,0.3024
117,0.2467,0.2948
118,0.2523,0.3106
119,0.2892,0.306
120,0.2875,0.3427
121,0.2701,0.3505
122,0.2777,0.3365
123,0.2857,0.3327
124,0.3161,0.3226
125,0.3345,0.3369
126,0.3424,0.314
127,0.3721,0.2966
128,0.3472,0.291
129,0.3345,0.3048
130,0.3168,0.3263
131,0.3106,0.3492
132,0.2851,0.3584
133,0.301,0.358
134,0.299,0.3708
135,0.2722,0.354
136,0.2557,0.3274
137,0.2667,0.336
138,0.2876,0.3227
139,0.4375,0.3703
140,0.4803,0.3672
141,0.4727,0.367
142,0.4389,0.3778
143,0.3851,0.3872
144,0.383,0.3872
145,0.3603,0.378
146,0.3474,0.3777
147,0.3319,0.3672
148,0.327,0.3634
149,0.347,0.4022
150,0.3482,0.403
151,0.3434,0.408
152,0.3215,0.3956
153,0.2882,0.4097
154,0.2805,0.4194
155,0.2745,0.4257
156,0.3137,0.4271
157,0.3181,0.4407
158,0.3394,0.4573
159,0.3299,0.4585
160,0.3072,0.4536
161,0.29,0.4641
162,0.2785,0.4472
163,0.3247,0.4337
164,0.3095,0.4308
165,0.3283,0.4026
166,0.3113,0.4141
167,0.3319,0.3983
168,0.5442,0.4448
169,0.5103,0.4328
170,0.4836,0.4261
171,0.4487,0.4147
172,0.4399,0.4085
173,0.4155,0.4033
174,0.3785,0.393
175,0.3438,0.3786
176,0.341,0.393
177,0.3675,0.3593
178,0.3651,0.3557
179,0.358,0.3484
180,0.3599,0.355
181,0.3827,0.3333
182,0.383,0.327
183,0.3711,0.327
184,0.3763,0.3409
185,0.3836,0.3474
186,0.4126,0.331
187,0.4131,0.3256
188,0.3855,0.3411
189,0.3563,0.3247
190,0.389,0.3257
191,0.4216,0.3277
192,0.4144,0.324
193,0.4035,0.3667
194,0.4301,0.361
195,0.4039,0.3685
196,0.3833,0.3575
197,0.3945,0.3663
198,0.3844,0.3799
199,0.3826,0.3711
200,0.3777,0.3707
201,0.3831,0.3576
202,0.4096,0.3413
203,0.4084,0.3584
204,0.4184,0.351
205,0.3739,0.3159
206,0.3718,0.345
207,0.3538,0.3343
208,0.3292,0.3325
209,0.3127,0.359
210,0.3079,0.3577
211,0.3283,0.3561
212,0.3029,0.3387
213,0.3058,0.3158
214,0.2984,0.3159
215,0.2944,0.3239
216,0.3172,0.3307
217,0.3296,0.3255
218,0.3574,0.328
219,0.3539,0.3025
220,0.3398,0.3125
221,0.3359,0.3176
222,0.3414,0.3497
223,0.3454,0.351
224,0.3239,0.338
225,0.327,0.339
226,0.3327,0.3357
227,0.384,0.344
228,0.4198,0.3458
229,0.3992,0.3283
230,0.391,0.3058
231,0.3597,0.3127
232,0.3474,0.3362
233,0.3539,0.3391
234,0.3778,0.353
235,0.3618,0.3692
236,0.3481,0.3737
237,0.3053,0.3617
238,0.3043,0.3654
239,0.2853,0.384
240,0.2779,0.3918
241,0.264,0.4026
242,0.2664,0.3947
243,0.2355,0.3911
244,0.2118,0.3889
245,0.2613,0.3878
246,0.24,0.405
247,0.2236,0.3688
248,0.2666,0.3697
249,0.3289,0.3689
250,0.3065,0.3488
251,0.3013,0.3601
252,0.3106,0.35
253,0.3471,0.3459
254,0.3276,0.375
255,0.3238,0.3903
256,0.3406,0.3985
257,0.3498,0.4035
258,0.3423,0.4001
259,0.34,0.4293
