episode,ep_reward,pre_mean_slo_miss,post_mean_slo_miss,llm_calls,llm_init_latency_ms
1,-721.5330593646216,0.00992381440499565,0.020189955498618208,8.0,10543.315417002304
2,-656.2910181553419,0.00992381440499565,0.009908397307346254,8.0,5556.078541005263
3,-718.0406534501426,0.018888179863123845,0.010021814561563322,8.0,5582.737541000824
4,-669.749566353352,0.00992381440499565,0.011825742467064734,8.0,6410.417499995674
5,-659.8419972891038,0.00992381440499565,0.010374357174549912,8.0,6453.5911660059355
6,-682.2084822120247,0.011496115999559216,0.012006593145020535,8.0,5639.694332989166
7,-665.094595891098,0.00992381440499565,0.010923196099809752,8.0,5552.953125006752
8,-662.2967129850116,0.00992381440499565,0.010276706451520868,8.0,5690.527166996617
9,-733.1977671562875,0.021028664100340492,0.010591148253778122,8.0,8567.891500002588
10,-661.6601096952852,0.010451282968933127,0.01026920513024169,8.0,5994.643334008288
11,-658.9993615394958,0.010518860223994023,0.0102706027773524,8.0,7006.733665999491
12,-796.5801975731581,0.030394399370147276,0.011165687276339572,8.0,7800.749458008795
13,-730.6466852082185,0.020809647304312496,0.010281678701363815,8.0,5427.24645799899
14,-670.0469953488011,0.00992381440499565,0.011470602028040507,8.0,5436.793790999218
15,-956.7976651891845,0.05281763320177222,0.013201573202217893,8.0,5575.1275420043385
16,-720.3674034237979,0.013431563494729229,0.016403081321775596,8.0,5748.597958008759
17,-717.7226734708446,0.018688449848368035,0.010366115278741527,8.0,6759.906332998071
18,-672.2538676990252,0.011450734120547862,0.010505515039583541,8.0,6105.003667005803
19,-669.8333703762372,0.010162082138752972,0.011558280320790372,8.0,8018.336624998483
20,-656.4394052460889,0.009992287313484931,0.009922969181874948,8.0,5615.739000000758
21,-695.3379831497831,0.014814755507792692,0.010537354523117215,8.0,5801.371374996961
22,-667.8549535285883,0.01197273505736568,0.009596617068885191,8.0,5919.879791996209
23,-1144.9777890634846,0.08545369239641346,0.010371656028956044,8.0,5659.196874999907
24,-654.0101055405971,0.00992381440499565,0.009484652839751403,8.0,6385.74520900147
25,-674.2876839767566,0.010425440723596835,0.011587052334133997,8.0,5548.393416989711
26,-660.6569022205437,0.010292178969343122,0.009919480678697318,8.0,5579.231041992898
27,-711.3750065545815,0.017867774609661033,0.01028586177353082,8.0,5661.250791003113
28,-666.006573393103,0.00992381440499565,0.010498107695815752,8.0,5750.5144589958945
29,-664.6233476914114,0.010167989070662999,0.010550105710448478,8.0,5618.824500008486
30,-717.2134310998746,0.01804112999097585,0.010453412139219687,8.0,5585.075541006518
31,-1043.6912846151297,0.07009259347183391,0.009947655688960203,8.0,6509.095790999709
32,-667.8943536286939,0.011272336836795148,0.01003756112955964,8.0,6073.355291999178
33,-656.3783453883588,0.010077174070427315,0.009681277083238606,8.0,8154.709875001572
34,-674.9569923859711,0.010450823790069137,0.01115140392353921,8.0,5453.362000000197
35,-1233.1976052674927,0.0987336353860427,0.010101850868435739,8.0,5389.445332999458
